Protein Complex,COGIDs,,,,,,,,,,,,,,,,,,,,,,,,,,,ECOLI Conservation Percent,ECOLI Protein IDs,MYCTU Conservation Percent,MYCTU Protein IDs,MYCLE Conservation Percent,MYCLE Protein IDs,BUCAI_APS Conservation Percent,BUCAI_APS Protein IDs,BUCAI_Cc Conservation Percent,BUCAI_Cc Protein IDs
tesA,COG2755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thiD,COG0351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thiL,COG0611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thpR,COG1514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tehA,COG1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tgt,COG0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdcD,COG0282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdcC,COG0814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssuD,COG2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tolR,COG0848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sufD,COG0719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torS,COG0784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torS,COG2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpiA,COG0149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yijF,COG3738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ychE,COG2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yciA,COG1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yciB,COG2917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycjF,COG3768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycjO,COG1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yedE,COG2391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yedI,COG2354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeeA,COG1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeeE,COG2391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeeN,COG0217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygaP,COG0607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygfZ,COG0354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yafD,COG3021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yafL,COG0791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycjP,COG0395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycjQ,COG1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycjR,COG1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yedF,COG0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeeO,COG0534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygaZ,COG1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yggE,COG2968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhaH,COG3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhdT,COG3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhdX,COG4597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yiaD,COG2885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yidC,COG0706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yigB,COG1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjdI,COG3592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjiK,COG3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjhH,COG0329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yncD,COG1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yncE,COG3391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ynbB,COG4589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ynbD,COG0671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ynbD,COG2453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yneE,COG3781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yohF,COG1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zapE,COG1485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zitB,COG1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xerD,COG4974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco,COG4974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycfT,COG4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ychN,COG1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yajR,COG0477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yajG,COG3056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yajO,COG0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yajQ,COG1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygiM,COG3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhbX,COG2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yheU,COG3089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yiaM,COG3090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG3090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yiaT,COG3713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjiG,COG0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ymdB,COG2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ymgE,COG2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ynjB,COG4134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ynjC,COG4135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ynfA,COG1742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqgE,COG1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqaB,COG0637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yajL,COG0693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycgV,COG3468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycjY,COG1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygiB,COG5463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yggT,COG0762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhbE,COG0697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhdY,COG0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhdZ,COG1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yibH,COG1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybeY,COG0319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycgB,COG2719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycfJ,COG3134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycfL,COG5633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycfP,COG3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycgM,COG0179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhaI,COG3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yicL,COG0697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yiaV,COG1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yihG,COG0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yifL,COG5567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yigA,COG3159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjcH,COG3162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjdN,COG2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjgA,COG3028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjiH,COG3314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjeT,COG3242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjdJ,COG2388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjjU,COG4667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcaA,COG0463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yicI,COG1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yiaN,COG1593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG1593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yiaO,COG1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zntA,COG2217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
znuA,COG4531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
znuB,COG1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yohK,COG1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yojI,COG4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG3274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wecH,COG3274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wza,COG1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wzxC,COG2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wzxE,COG2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xanP,COG2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xanQ,COG2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xapA,COG0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trkH,COG0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,COG0471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ttdT,COG0471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyrB,COG1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ubiA,COG0382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ubiE,COG2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaaA,COG3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wzzB,COG3765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xdhB,COG1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xdhD,COG1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xdhD,COG2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xylH,COG4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xylF,COG4213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcaK,COG2327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xylA,COG2115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcaJ,COG2148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wzc,COG0489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wzc,COG3206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xdhA,COG1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xerC,COG4973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco,COG4973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waaU,COG0859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ugd,COG1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG3623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
truA,COG0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trxB,COG0492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thyA,COG0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ubiB,COG0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,COG1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uacT,COG2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uhpC,COG2271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ugpA,COG1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulaG,COG2220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG3248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tsx,COG3248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG0814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyrP,COG0814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ugpB,COG1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ugpE,COG0395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tap,COG0654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhbT,COG3154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhbU,COG0826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhcB,COG3105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yheO,COG2964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yibN,COG0607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yicJ,COG2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yidA,COG0561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yidB,COG3753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG0759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yieL,COG2382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yihY,COG1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yiiR,COG3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjeH,COG0531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjfC,COG0754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjfI,COG3789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjiR,COG1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjhF,COG2610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ykgJ,COG0727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yliI,COG2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yniA,COG3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ynfF,COG1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yobA,COG2372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yphA,COG2259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yphD,COG1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yphF,COG1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqfB,COG3097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yheT,COG0429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjcO,COG0790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjbQ,COG0432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjcS,COG2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjgR,COG0433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjdF,COG3647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ykgF,COG1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqeF,COG0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqaE,COG0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqjA,COG0586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqjG,COG0435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yraQ,COG0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ytfJ,COG3054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ytfL,COG1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zapD,COG4582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yigE,COG3698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjdM,COG2824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjgN,COG4269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG3153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjhU,COG2390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ynbA,COG0558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ynfH,COG3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aer,COG3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yobD,COG4811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yraP,COG2823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG2846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjjB,COG3610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ynfE,COG0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yoaF,COG3042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yohD,COG0586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqiK,COG2268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqhD,COG1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yraJ,COG3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yiaB,COG4682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yidQ,COG5645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjcE,COG0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjbB,COG1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ypdA,COG3275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ypfJ,COG2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqaA,COG1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqfA,COG1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yiaA,COG4682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yicG,COG2860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yidK,COG4146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjbJ,COG3237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjjP,COG2966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjiN,COG2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yjfL,COG3766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yohJ,COG1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yoaE,COG0861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yoaE,COG1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ypfH,COG0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqcA,COG0716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqcC,COG3098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqjE,COG5393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zapA,COG3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqeG,COG0814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqgA,COG1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ypjD,COG4137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG3153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yibQ,COG2861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yidE,COG2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yidH,COG2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yifE,COG3085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yifK,COG1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yihI,COG3078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yihO,COG2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yihP,COG2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
